scorer,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160,DLC_Resnet50_MumuSwimmingDorsalTS5Feb21shuffle1_snapshot_best-160
bodyparts,SnoutTip,SnoutTip,SnoutTip,TopEye,TopEye,TopEye,BottomEye,BottomEye,BottomEye,AntBodyMid,AntBodyMid,AntBodyMid,BodyMid,BodyMid,BodyMid,PostBodyMid,PostBodyMid,PostBodyMid,TailBase,TailBase,TailBase,ProxTail1,ProxTail1,ProxTail1,ProxTail2,ProxTail2,ProxTail2,ProxTail3,ProxTail3,ProxTail3,MidTail,MidTail,MidTail,DistTail1,DistTail1,DistTail1,DistTail2,DistTail2,DistTail2,DistTail3,DistTail3,DistTail3,TailTip,TailTip,TailTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,59.861694,510.9746,0.082458496,39.80078,445.32227,0.05239868,469.2373,163.81384,0.022903442,1259.0596,146.20508,0.042907715,51.920715,470.50586,0.057128906,34.51367,442.97656,0.026870728,35.59375,454.77344,0.032470703,34.387695,447.71875,0.015586853,1276.2993,171.59131,0.025878906,32.5625,482.54004,0.024139404,30.289062,434.8125,0.0362854,420.2754,169.97461,0.024673462,33.3125,447.13867,0.025421143,42.967773,442.6172,0.04547119,1272.4062,547.8828,0.06262207
1,59.894714,510.9746,0.059020996,44.776855,446.82422,0.04373169,469.2373,187.12793,0.021911621,1259.0596,146.30664,0.049957275,52.04413,470.98438,0.047454834,34.97754,452.4375,0.029876709,35.59375,455.33984,0.029724121,34.387695,447.71875,0.012916565,1276.3076,171.59131,0.025543213,32.953125,482.54004,0.02494812,30.289062,457.49805,0.029525757,420.2754,170.23145,0.02885437,33.3125,449.41406,0.023223877,42.967773,452.8208,0.03488159,1272.4062,547.8828,0.049713135
2,60.245728,510.9746,0.074645996,45.8291,447.56836,0.056762695,469.2373,187.15771,0.022766113,1259.0596,146.30664,0.044403076,52.09796,471.01562,0.04776001,35.035645,459.98438,0.022323608,35.700684,457.9297,0.030975342,44.09735,448.02734,0.030227661,1276.3076,171.89081,0.027648926,36.393066,482.54004,0.02230835,33.15625,467.63794,0.024932861,420.2754,459.35986,0.01991272,33.433594,464.46875,0.03225708,42.967773,469.60938,0.040374756,1272.4062,547.8828,0.078308105
3,60.245728,510.9746,0.052215576,52.2063,448.21094,0.03878784,43.083008,450.80078,0.025405884,1259.0596,146.32324,0.049316406,62.248047,472.9336,0.031280518,46.046875,459.98438,0.047576904,41.714844,487.0332,0.051574707,42.45508,455.52344,0.01965332,1276.3076,171.89081,0.025787354,36.393066,464.42578,0.053710938,33.15625,457.49805,0.06109619,50.805664,459.35986,0.043762207,37.588867,462.8086,0.046813965,32.996094,452.8208,0.11480713,24.453125,481.56445,0.2685547
4,60.79785,510.33203,0.08648682,52.2063,448.21094,0.053710938,42.802734,450.80078,0.04989624,1259.0332,146.32324,0.04348755,62.248047,472.9336,0.013977051,46.34375,460.41406,0.03552246,43.399414,493.20605,0.03286743,42.45508,459.3994,0.01626587,1274.8057,178.83008,0.028381348,34.91797,462.70898,0.023010254,32.929688,449.76367,0.050933838,50.176758,459.35986,0.035949707,37.588867,462.8086,0.044403076,30.558594,450.83008,0.15014648,23.482422,473.9004,0.3046875
5,62.570312,510.33203,0.051879883,61.331055,503.86328,0.048797607,34.83203,487.5664,0.022583008,1259.0332,146.32324,0.04437256,62.248047,473.15625,0.038604736,46.816406,469.56543,0.04547119,42.895508,493.20605,0.052734375,42.45508,459.3994,0.024871826,30.578125,429.16406,0.026855469,34.91797,451.98438,0.057434082,32.929688,449.76367,0.045196533,50.176758,459.35986,0.045440674,37.588867,462.8086,0.0680542,30.558594,452.8208,0.3894043,22.58789,473.9004,0.5444336
6,62.279297,510.33203,0.093444824,61.331055,502.91016,0.04574585,34.83203,487.5664,0.035186768,1259.0679,146.31934,0.048797607,62.13867,484.8745,0.031188965,46.816406,469.72363,0.08135986,42.895508,500.91357,0.032196045,42.45508,459.3994,0.031143188,29.958984,433.69922,0.036834717,33.23242,450.9873,0.051818848,32.929688,444.42188,0.066711426,50.176758,445.4375,0.04220581,56.375,462.8086,0.05609131,30.558594,450.83008,0.43066406,20.561523,473.9004,0.63720703
7,62.570312,512.16797,0.10809326,61.331055,502.91016,0.087402344,42.802734,487.5664,0.03933716,1259.084,146.32324,0.04840088,54.103516,484.8745,0.038116455,48.68164,471.2871,0.04864502,49.166016,501.61328,0.060424805,42.45508,459.3994,0.040771484,30.578125,429.16406,0.03427124,33.23242,449.37305,0.062805176,25.625,444.42188,0.055755615,50.176758,445.4375,0.06210327,61.47754,462.8086,0.0692749,30.216797,446.48633,0.38256836,20.434814,468.87646,0.48461914
