scorer,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120,DLC_Resnet50_MumuSwimmingTS5Dec2shuffle2_snapshot_best-120
bodyparts,Eye,Eye,Eye,SnoutTip,SnoutTip,SnoutTip,TailBase,TailBase,TailBase,ProxTail1,ProxTail1,ProxTail1,ProxTail2,ProxTail2,ProxTail2,ProxTail3,ProxTail3,ProxTail3,MidTail,MidTail,MidTail,DistTail1,DistTail1,DistTail1,DistTail2,DistTail2,DistTail2,DistTail3,DistTail3,DistTail3,TailTip,TailTip,TailTip,Ankle,Ankle,Ankle,MTP,MTP,MTP
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,5.4960938,359.29688,0.018676758,26.478516,354.76953,0.035614014,7.3554688,356.96875,0.01374054,1260.364,370.8037,0.027404785,1219.3359,363.98087,0.025283813,23.960938,359.14062,0.011390686,8.328125,361.2422,0.021820068,6.265625,358.94336,0.009361267,14.310547,358.8496,0.028778076,18.339844,356.2578,0.062927246,7.28125,358.40625,0.027572632,16.675781,372.45703,0.016143799,1236.4397,367.02148,0.014045715
1,12.974121,359.29688,0.014793396,26.495117,354.8047,0.029266357,7.3554688,360.98047,0.013648987,1260.4773,370.8037,0.027435303,1219.4155,363.98087,0.024215698,23.992188,359.41406,0.009208679,8.46875,361.59766,0.019515991,43.527588,364.84082,0.008628845,14.310547,366.16406,0.019378662,22.542969,359.1797,0.030960083,7.298828,358.53516,0.022781372,1269.5107,380.81445,0.017166138,1236.4731,367.03125,0.013168335
2,19.256836,359.29688,0.011260986,26.495117,354.8047,0.023162842,7.3554688,360.9922,0.012397766,1260.5161,370.84082,0.026931763,1219.4199,364.00085,0.025680542,23.992188,359.41406,0.0065841675,8.46875,361.64453,0.014450073,43.756104,364.84082,0.012268066,14.310547,366.7461,0.013076782,22.65625,359.1797,0.023773193,7.3789062,358.56055,0.017440796,1269.5322,380.81445,0.015563965,1236.5103,367.18164,0.013633728
3,1269.6543,356.46094,0.0107040405,26.495117,354.8047,0.022415161,7.328125,360.98047,0.012077332,1260.5161,370.84082,0.026657104,1219.4199,364.00085,0.028335571,23.992188,359.14062,0.0068588257,8.46875,361.59766,0.015686035,43.756104,359.49023,0.009544373,14.111328,367.4336,0.014419556,22.65625,359.1797,0.02218628,7.3984375,358.53516,0.016326904,1269.541,380.8208,0.016983032,1236.5103,377.8379,0.016586304
4,1269.6543,356.39844,0.010673523,26.495117,354.8047,0.018310547,7.328125,360.98047,0.011993408,1260.4773,370.85938,0.026428223,1219.4478,363.99506,0.023391724,23.992188,358.97656,0.008094788,8.46875,361.2422,0.01625061,43.527588,359.49023,0.009750366,14.015625,367.6328,0.012550354,22.65625,359.5957,0.02456665,7.4414062,358.40625,0.015289307,1269.54,380.8208,0.015945435,1236.487,367.18164,0.013465881
5,1269.6543,356.35938,0.010848999,1275.5405,358.80664,0.015159607,7.328125,360.9922,0.010650635,1260.4729,370.8496,0.027328491,1219.4609,364.01,0.025360107,1285.832,342.65625,0.0049057007,1250.5,361.0078,0.010429382,43.756104,359.50586,0.011131287,14.015625,367.6328,0.014785767,22.111328,359.5957,0.022140503,7.4414062,357.9707,0.0151901245,1269.541,380.82227,0.017578125,1236.5103,367.18164,0.015159607
6,1269.6611,356.35156,0.0104904175,1275.581,358.8086,0.015106201,13.692383,372.10895,0.012519836,1260.4473,370.9043,0.02658081,1219.4199,364.0196,0.02670288,1285.8467,342.6543,0.0048828125,1250.5107,360.9961,0.01033783,43.756104,359.50586,0.010772705,14.015625,367.6328,0.013267517,22.08789,359.21484,0.017242432,7.3984375,357.9707,0.011077881,1269.541,380.82227,0.016998291,1236.487,377.8379,0.014656067
7,1269.6611,356.35156,0.010574341,1275.5857,358.8164,0.015174866,13.749023,372.49097,0.011016846,1260.4414,370.92676,0.026809692,1219.3789,364.06818,0.025787354,1285.8467,342.6172,0.004875183,1250.5156,360.9453,0.01020813,28.108215,359.50586,0.009468079,1260.6514,355.67188,0.007827759,22.019531,359.29492,0.016662598,6.8828125,357.9707,0.010856628,1269.54,380.82227,0.01751709,1236.487,377.8379,0.013885498
8,1269.6357,356.35156,0.010498047,1275.581,358.8086,0.015106201,13.749023,372.49097,0.016616821,1260.4058,370.9287,0.026306152,1219.3779,364.156,0.022033691,1285.8418,342.6172,0.0048828125,1250.5107,360.9297,0.009399414,28.036163,364.99463,0.00844574,1260.6514,355.67188,0.007801056,21.786133,359.21484,0.016830444,6.7773438,357.9707,0.012374878,1269.5254,380.79834,0.015792847,1236.487,367.1172,0.013954163
9,1269.6357,356.35156,0.010368347,1275.581,358.80664,0.014945984,13.749023,372.49097,0.016708374,1260.383,370.9297,0.025634766,1219.3496,364.16162,0.0211792,1285.832,342.6543,0.004878998,1250.5,360.89453,0.009651184,27.820312,364.99463,0.009338379,1260.6514,355.67188,0.0077705383,21.625,359.19922,0.01751709,6.626953,357.9707,0.014343262,1269.4893,380.79443,0.016036987,18.958008,367.05664,0.012954712
10,1.3691406,356.21094,0.044769287,10.671875,338.14648,0.40673828,13.749023,372.49097,0.015434265,1260.3567,371.05615,0.024017334,1219.3198,364.23657,0.01828003,8.818359,349.2539,0.022994995,5.163086,341.5,0.018096924,26.563477,364.87158,0.02432251,20.54248,355.89844,0.0289917,15.7890625,350.23438,0.02796936,6.626953,347.53125,0.040649414,15.923828,370.61426,0.02293396,12.3203125,379.14014,0.027236938
11,0.23632812,356.17188,0.07287598,10.671875,338.0039,0.80078125,10.421875,355.59814,0.00920105,1260.3567,371.05615,0.02470398,1219.3179,364.28418,0.018234253,7.9257812,349.2539,0.023986816,5.163086,341.5,0.017852783,26.563477,364.24243,0.030532837,18.135742,365.3291,0.016799927,15.7890625,350.23438,0.028030396,6.8828125,344.64844,0.064331055,5.4404297,370.61426,0.03137207,12.3203125,377.0957,0.033325195
12,0.23632812,343.45508,0.09320068,10.671875,338.0039,0.94189453,10.421875,355.59814,0.016830444,1260.3403,371.05957,0.024795532,33.632812,364.28418,0.02709961,7.9257812,350.21484,0.025268555,5.163086,341.5,0.015586853,25.347656,364.87158,0.017745972,18.135742,365.3291,0.026184082,15.7890625,350.23438,0.018356323,29.179688,344.64844,0.03894043,5.4404297,370.61426,0.032348633,12.252686,374.78125,0.03048706
13,1.1601562,343.45508,0.13757324,16.40039,338.0039,0.95996094,1.8515625,356.35913,0.015075684,1260.3403,371.05957,0.024795532,33.632812,364.4817,0.027145386,7.9257812,350.21484,0.021240234,11.7734375,360.98828,0.009063721,26.563477,364.87158,0.013290405,18.695312,366.07617,0.028045654,29.510742,366.46484,0.01701355,30.847656,347.04688,0.028961182,11.117676,372.37622,0.033935547,12.252686,374.78125,0.04248047
